State/Area,Population,Labor Force,Labor Force %,Employed,Employment of Tot Pop %,Unemployed,Unemployment Rate,Date
Minnesota,4098214,2929562,71.5,2702551,65.9,227011,7.7,2009-12-01
Mississippi,2205398,1260414,57.2,1125638,51.0,134776,10.7,2009-12-01
Missouri,4625852,3038815,65.7,2742566,59.3,296249,9.7,2009-12-01
Montana,770036,499622,64.9,463837,60.2,35785,7.2,2009-12-01
Nebraska,1369023,990253,72.3,942250,68.8,48003,4.8,2009-12-01
Nevada,2007872,1347093,67.1,1175617,58.6,171476,12.7,2009-12-01
New Hampshire,1060017,740836,69.9,693971,65.5,46865,6.3,2009-12-01
New Jersey,6788789,4544433,66.9,4098646,60.4,445787,9.8,2009-12-01
New Mexico,1525111,932476,61.1,858927,56.3,73549,7.9,2009-12-01
New York,15392726,9578723,62.2,8727519,56.7,851204,8.9,2009-12-01
New York city,6624828,3949925,59.6,3550063,53.6,399862,10.1,2009-12-01
North Carolina,7158470,4566393,63.8,4053239,56.6,513154,11.2,2009-12-01
North Dakota,506446,370664,73.2,355769,70.2,14895,4.0,2009-12-01
Ohio,8965878,5866982,65.4,5219676,58.2,647306,11.0,2009-12-01
Oklahoma,2787381,1760154,63.1,1636403,58.7,123751,7.0,2009-12-01
Oregon,3023994,1963411,64.9,1748959,57.8,214452,10.9,2009-12-01
Pennsylvania,9963526,6343929,63.7,5799597,58.2,544332,8.6,2009-12-01
Rhode Island,843434,565780,67.1,503035,59.6,62745,11.1,2009-12-01
South Carolina,3510581,2141821,61.0,1891614,53.9,250207,11.7,2009-12-01
South Dakota,621097,442135,71.2,419447,67.5,22688,5.1,2009-12-01
Tennessee,4890561,3042726,62.2,2722908,55.7,319818,10.5,2009-12-01
Texas,18247563,12026349,65.9,11028565,60.4,997784,8.3,2009-12-01
Utah,1989021,1354722,68.1,1248472,62.8,106250,7.8,2009-12-01
Vermont,508622,358618,70.5,335969,66.1,22649,6.3,2009-12-01
Virginia,6037319,4100552,67.9,3798877,62.9,301675,7.4,2009-12-01
Washington,5211219,3532638,67.8,3165654,60.7,366984,10.4,2009-12-01
West Virginia,1455689,810555,55.7,741741,51.0,68814,8.5,2009-12-01
Wisconsin,4429332,3080880,69.6,2796359,63.1,284521,9.2,2009-12-01
Wyoming,420366,301339,71.7,279841,66.6,21498,7.1,2009-12-01
Alabama,3636380,2144182,59.0,1893169,52.1,251013,11.7,2010-01-01
